Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
1999,TLC13859,0.5,518.9,20,0,5,0,0,0,110541
3926,TLC13966,0.45,93.4,5,0,4.5,0,0,0,20644
4191,TLC14160,0.5,74.4,5,0,5,0,0,0,16660
4037,TLC14178,0.5,110,10,0,3.5,0,0,0,23884
3188,TLC14189,0.9,64,5,0,9,0,0,0,15392
3763,TLC14218,2.3,171.2,10,0,23,0,0,0,40821
3350,TLC14225,0.9,113.1,10,0,9,0,0,0,25746
3345,TLC14259,1.8,170,10,0,18,0,0,0,39633
1847,TLC14330,2.7,107,10,0,27,0,0,0,28194
2899,TLC14334,1.8,25.5,3,0,18,0,0,0,9118
4264,TLC14350,2.7,184.9,10,0,27,0,0,0,44631
2000,TLC14361,9,720,30,0,85.5,0,0,0,169780
3321,TLC14383,0.45,89.9,5,0,4.5,0,0,0,19915
7,TLC14386,7.2,1358,25,0,39.6,0,0,0,295040
2919,TLC14388,1,14,0,0,8,0,0,0,4610
4235,TLC14390,1.4,75,5,0,14,0,0,0,18632
4271,TLC14393,0.5,74.1,5,0,5,0,0,0,16572
4227,TLC14401,0.9,42.8,5,0,9,0,0,0,10908
3410,TLC14408,0.5,35,5,0,5,0,0,0,8326
3483,TLC14423,2.25,77.3,5,0,22.5,0,0,0,20977
3337,TLC14428,1.4,91,5,0,14,0,0,0,22007
3635,TLC14440,18.7,28,3,0,158.95,0,0,0,16160
3190,TLC14449,0.5,117,10,0,5,0,0,0,25643
4274,TLC14461,0.5,35,5,0,5,0,0,0,8326
4279,TLC14501,0.5,33.2,5,0,5,0,0,0,7938
3795,TLC14510,0.5,64.2,5,0,5,0,0,0,14489
3088,TLC14519,0.9,192.6,10,0,9,0,0,0,42548
4249,TLC14529,0.5,32.7,5,0,5,0,0,0,7843
4266,TLC14544,0.9,82,5,0,9,0,0,0,19179
3291,TLC14577,0.9,63.1,5,0,9,0,0,0,14980
1858,TLCCONS2591,4.05,1487.3,50,0,28.35,0,0,0,232608
3910,TLCCONS2593,0.9,69,5,0,9,0,0,0,16438
3175,TLCCONS2594,1.8,76.8,5,0,18,0,0,0,19955
4178,TLCCONS2595,2.25,66.4,5,0,22.5,0,0,0,18672
3704,TLCCONS2597,0.9,79.8,5,0,9,0,0,0,18719
3547,TLCCONS2598,0.9,43.3,5,0,9,0,0,0,11011
2882,TLCCONS2599,0.9,74.9,5,0,9,0,0,0,17674
1940,TLCCONS2603,18.2,116.5,10,0,109.2,0,0,0,29635
4171,TLCCONS2604,1.35,56.5,5,0,13.5,0,0,0,14727
3759,TLCCONS2610,8.1,348.1,10,0,76.95,0,0,0,89461
3320,TLCCONS2612,2.25,584.2,20,0,22.5,0,0,0,128048
4272,TLCCONS2613,1.8,53.8,5,0,18,0,0,0,15083
7,TLCCONS2616,5.4,329.6,6,0,29.7,0,0,0,75764
4164,TLCCONS2617,1.8,30.2,5,0,18,0,0,0,10100
4226,TLC13998,1,30,0,0,8,0,0,0,0
3427,TLC14041,1,16.1,0,0,8,0,0,0,0
4086,TLC14111,1,29.5,0,0,8,0,0,0,0
2838,TLC14133,1,28.3,0,0,8,0,0,0,0
3510,TLC14216,1,28,0,0,8,0,0,0,0
3371,TLC14221,1,21.4,0,0,8,0,0,0,0
3811,TLC14242,1,7.7,0,0,8,0,0,0,0
3114,TLC14244,1,14.5,0,0,8,0,0,0,0
4161,TLC14272,1,25,0,0,8,0,0,0,0
3433,TLC14285,1,28.7,0,0,8,0,0,0,0
4256,TLC14335,1,23.2,0,0,8,0,0,0,0
3575,TLC14340,1,22.3,0,0,8,0,0,0,0
4245,TLC14356,1,26.8,0,0,8,0,0,0,0
4087,TLC14405,1,19.1,0,0,8,0,0,0,0
3103,TLC14406,1,30,0,0,8,0,0,0,0
3276,TLC14415,1,26.8,0,0,8,0,0,0,0
2952,TLC14419,1,27.7,0,0,8,0,0,0,0
3086,TLC14421,1,12.6,0,0,8,0,0,0,0
4204,TLC14439,1,26,0,0,8,0,0,0,0
3335,TLC14441,1,22.3,0,0,8,0,0,0,0
3204,TLC14446,1,7.3,0,0,8,0,0,0,0
4265,TLC14460,1,16.6,0,0,8,0,0,0,0
4275,TLC14464,1,26.8,0,0,8,0,0,0,0
3949,TLC14474,1,28.9,0,0,8,0,0,0,0
3520,TLC14492,1,25.7,0,0,8,0,0,0,0
3494,TLC14497,1,11.4,0,0,8,0,0,0,0
4090,TLC14508,1,22.7,0,0,8,0,0,0,0
2980,TLC14522,1,30,0,0,8,0,0,0,0
4277,TLC14528,1,29.9,0,0,8,0,0,0,0
4268,TLC14543,1,22.2,0,0,8,0,0,0,0
3529,TLCCONS2590,2.25,19.2,3,0,22.5,0,0,0,0
3076,TLCCONS2611,1,28.8,0,0,8,0,0,0,0
4260,TLC14353,1.8,29.3,3,0,18,0,0,0,9918
4260,TLC14354,1,22.5,0,0,8,0,0,0,6409
3058,TLC14420,1.4,68.3,5,0,14,0,0,0,17222
1881,TLC14527,30.6,863,30,0,183.6,0,0,0,220297
1908,TLCCONS2587,137.2,2107.4,50,0,1029,0,0,0,467806
4259,TLCCONS2589,0.45,100.3,10,0,4.5,0,0,0,22846
1864,TLCCONS2600,22.95,1392.6,50,0,149.18,0,0,0,325039
3502,TLCCONS2606,1.35,176.3,10,0,13.5,0,0,0,40037
4035,TLCCONS2607,1.8,107.2,10,0,18,0,0,0,26372
4280,TLCCONS2619,2.7,397.7,10,0,27,0,0,0,89588
